IND,BW,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,54,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,49,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,37,0,0,0,0,0,0,1,1,1,1,1,1,1,1
8,55,1,1,1,1,1,1,1,1,1,1,1,1,1,0
9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,39,0,0,0,0,1,1,1,1,1,1,1,1,1,1
12,58,1,1,1,1,1,1,1,1,1,1,1,1,0,0
13,56,1,1,1,1,1,1,1,1,1,1,1,1,1,0
14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,70,1,1,1,1,1,1,1,1,1,1,1,0,1,1
17,62,0,0,0,0,0,1,1,1,1,1,1,1,1,1
18,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,49,0,0,0,0,0,1,1,1,1,1,1,1,1,1
24,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,51,1,1,1,1,1,1,0,0,0,0,0,0,0,0
26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,0,0,0,0,0,0,0,1,1,1,1,1,1,1
33,53,0,0,0,0,0,0,0,0,0,1,1,1,1,1
34,50,1,1,1,1,1,1,1,1,1,0,0,0,0,0
35,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,57,0,1,1,1,1,1,1,1,1,1,1,1,1,0
38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,60,0,0,0,0,0,0,1,1,1,1,1,1,1,1
43,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,71,0,1,1,1,1,1,1,1,1,1,1,1,1,1
47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,52,0,0,0,0,0,0,0,1,1,1,1,1,1,1
49,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,57,1,1,1,1,1,1,1,1,1,1,1,1,1,0
52,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,59,0,0,1,1,1,1,1,1,1,1,1,1,1,1
56,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,43,0,0,0,0,0,0,0,0,1,1,1,1,1,1
58,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,44,0,0,0,0,1,1,1,1,1,1,0,1,1,0
60,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1
65,49,0,1,1,1,1,1,1,1,1,1,1,1,1,0
66,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,42,0,0,0,0,0,0,0,0,0,0,1,1,1,1
70,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,68,1,1,1,1,1,1,1,1,1,1,1,1,1,0
76,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,46,1,1,1,1,1,1,0,0,0,0,0,0,0,0
80,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,43,1,0,0,0,0,0,0,0,0,0,0,1,1,1
82,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1
83,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,57,0,0,0,0,0,0,0,1,1,1,1,1,1,1
85,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,66,0,0,0,0,0,0,0,0,0,0,0,0,1,1
91,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,45,1,1,1,1,1,0,0,0,0,0,0,0,0,0
94,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,48,0,0,0,0,0,0,0,1,1,1,1,1,1,0
96,36,0,0,0,0,0,0,1,1,1,1,1,1,1,1
97,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,45,1,1,1,1,0,0,0,0,0,0,0,0,0,0
101,43,1,1,1,0,0,0,0,0,0,0,0,0,0,0
102,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0